step,local_time,ghi,elevation,azimuth,t2m,led,sun_angle
0,2013-06-03 00:00:00,0.0,-34.51,337.54,22.8,0,180
1,2013-06-03 00:02:24,0.0,-34.64,338.21,22.76,0,180
2,2013-06-03 00:04:48,0.0,-34.76,338.88,22.72,0,180
3,2013-06-03 00:07:12,0.0,-34.89,339.55,22.68,0,180
4,2013-06-03 00:09:36,0.0,-35.02,340.22,22.65,0,180
5,2013-06-03 00:12:00,0.0,-35.15,340.89,22.61,0,180
6,2013-06-03 00:14:24,0.0,-35.27,341.56,22.57,0,180
7,2013-06-03 00:16:48,0.0,-35.4,342.23,22.53,0,180
8,2013-06-03 00:19:12,0.0,-35.53,342.9,22.49,0,180
9,2013-06-03 00:21:36,0.0,-35.66,343.56,22.45,0,180
10,2013-06-03 00:24:00,0.0,-35.78,344.23,22.42,0,180
11,2013-06-03 00:26:24,0.0,-35.91,344.9,22.38,0,180
12,2013-06-03 00:28:48,0.0,-36.04,345.57,22.34,0,180
13,2013-06-03 00:31:12,0.0,-36.17,346.24,22.3,0,180
14,2013-06-03 00:33:36,0.0,-36.29,346.91,22.26,0,180
15,2013-06-03 00:36:00,0.0,-36.42,347.58,22.22,0,180
16,2013-06-03 00:38:24,0.0,-36.55,348.25,22.19,0,180
17,2013-06-03 00:40:48,0.0,-36.68,348.92,22.15,0,180
18,2013-06-03 00:43:12,0.0,-36.8,349.59,22.11,0,180
19,2013-06-03 00:45:36,0.0,-36.93,350.26,22.07,0,180
20,2013-06-03 00:48:00,0.0,-37.06,350.93,22.03,0,180
21,2013-06-03 00:50:24,0.0,-37.19,351.6,21.99,0,180
22,2013-06-03 00:52:48,0.0,-37.31,352.26,21.96,0,180
23,2013-06-03 00:55:12,0.0,-37.44,352.93,21.92,0,180
24,2013-06-03 00:57:36,0.0,-37.57,353.6,21.88,0,180
25,2013-06-03 01:00:00,0.0,-37.7,354.27,21.84,0,180
26,2013-06-03 01:02:24,0.0,-37.67,340.57,21.81,0,180
27,2013-06-03 01:04:48,0.0,-37.64,326.87,21.77,0,180
28,2013-06-03 01:07:12,0.0,-37.61,313.17,21.74,0,180
29,2013-06-03 01:09:36,0.0,-37.59,299.46,21.7,0,180
30,2013-06-03 01:12:00,0.0,-37.56,285.76,21.67,0,180
31,2013-06-03 01:14:24,0.0,-37.53,272.06,21.64,0,180
32,2013-06-03 01:16:48,0.0,-37.5,258.36,21.6,0,180
33,2013-06-03 01:19:12,0.0,-37.47,244.66,21.57,0,180
34,2013-06-03 01:21:36,0.0,-37.45,230.95,21.53,0,180
35,2013-06-03 01:24:00,0.0,-37.42,217.25,21.5,0,180
36,2013-06-03 01:26:24,0.0,-37.39,203.55,21.47,0,180
37,2013-06-03 01:28:48,0.0,-37.36,189.85,21.43,0,180
38,2013-06-03 01:31:12,0.0,-37.34,176.15,21.4,0,0
39,2013-06-03 01:33:36,0.0,-37.31,162.44,21.36,0,0
40,2013-06-03 01:36:00,0.0,-37.28,148.74,21.33,0,0
41,2013-06-03 01:38:24,0.0,-37.25,135.04,21.3,0,0
42,2013-06-03 01:40:48,0.0,-37.23,121.34,21.26,0,0
43,2013-06-03 01:43:12,0.0,-37.2,107.63,21.23,0,0
44,2013-06-03 01:45:36,0.0,-37.17,93.93,21.19,0,0
45,2013-06-03 01:48:00,0.0,-37.14,80.23,21.16,0,0
46,2013-06-03 01:50:24,0.0,-37.12,66.53,21.13,0,0
47,2013-06-03 01:52:48,0.0,-37.09,52.83,21.09,0,0
48,2013-06-03 01:55:12,0.0,-37.06,39.12,21.06,0,0
49,2013-06-03 01:57:36,0.0,-37.03,25.42,21.02,0,0
50,2013-06-03 02:00:00,0.0,-37.01,11.72,20.99,0,0
51,2013-06-03 02:02:24,0.0,-36.83,12.36,20.97,0,0
