zone,crop,scope,month,rain_in_mm,irrigation_mm,days_target_met,rain_share
A,boston fern,month,1,0.0,0.0,31,
A,boston fern,month,2,0.0,36.3,27,
A,boston fern,month,3,0.0,36.0,31,
A,boston fern,month,4,0.0,36.1,30,
A,boston fern,month,5,0.0,0.0,31,
A,boston fern,month,6,0.0,36.2,30,
A,boston fern,month,7,0.0,36.1,31,
A,boston fern,month,8,0.0,36.0,30,
A,boston fern,month,9,0.0,36.1,30,
A,boston fern,month,10,0.0,36.1,29,
A,boston fern,month,11,0.0,0.0,26,
A,boston fern,month,12,0.0,36.1,28,
A,boston fern,year,,0.0,325.2,354,0.000
B,hydrangea,month,1,0.0,36.0,29,
B,hydrangea,month,2,0.0,36.1,27,
B,hydrangea,month,3,0.0,36.1,31,
B,hydrangea,month,4,39.0,0.0,30,
B,hydrangea,month,5,0.0,36.1,31,
B,hydrangea,month,6,47.6,0.0,30,
B,hydrangea,month,7,68.0,0.0,31,
B,hydrangea,month,8,34.4,0.0,30,
B,hydrangea,month,9,35.8,0.0,30,
B,hydrangea,month,10,31.2,0.0,29,
B,hydrangea,month,11,0.3,36.2,21,
B,hydrangea,month,12,3.7,36.1,27,
B,hydrangea,year,,260.0,216.7,346,0.545
C,southern highbush blueberry,month,1,6.3,36.2,0,
C,southern highbush blueberry,month,2,0.0,108.6,0,
C,southern highbush blueberry,month,3,0.0,108.4,0,
C,southern highbush blueberry,month,4,16.8,72.3,0,
C,southern highbush blueberry,month,5,0.0,144.8,0,
C,southern highbush blueberry,month,6,11.7,109.1,0,
C,southern highbush blueberry,month,7,87.2,0.0,0,
C,southern highbush blueberry,month,8,14.9,72.3,0,
C,southern highbush blueberry,month,9,3.8,72.7,0,
C,southern highbush blueberry,month,10,40.4,72.1,0,
C,southern highbush blueberry,month,11,0.3,72.3,0,
C,southern highbush blueberry,month,12,4.9,36.0,0,
C,southern highbush blueberry,year,,186.3,904.8,0,0.171
