zone,crop,scope,month,rain_in_mm,irrigation_mm,days_target_met,rain_share
A,boston fern,month,1,0.0,0.0,14,
A,boston fern,month,2,0.0,0.0,23,
A,boston fern,month,3,0.0,36.0,28,
A,boston fern,month,4,0.0,0.0,27,
A,boston fern,month,5,0.0,36.1,31,
A,boston fern,month,6,0.0,36.1,29,
A,boston fern,month,7,0.0,0.0,28,
A,boston fern,month,8,0.0,36.3,29,
A,boston fern,month,9,0.0,36.3,24,
A,boston fern,month,10,0.0,0.0,28,
A,boston fern,month,11,0.0,36.1,27,
A,boston fern,month,12,0.0,0.0,19,
A,boston fern,year,,0.0,216.9,307,0.000
B,hydrangea,month,1,0.0,0.0,9,
B,hydrangea,month,2,9.4,0.0,22,
B,hydrangea,month,3,33.3,0.0,25,
B,hydrangea,month,4,12.0,0.0,25,
B,hydrangea,month,5,5.4,36.0,30,
B,hydrangea,month,6,9.1,36.4,28,
B,hydrangea,month,7,38.6,0.0,27,
B,hydrangea,month,8,32.6,0.0,28,
B,hydrangea,month,9,38.4,0.0,22,
B,hydrangea,month,10,2.5,36.1,26,
B,hydrangea,month,11,18.2,0.0,22,
B,hydrangea,month,12,24.9,0.0,11,
B,hydrangea,year,,224.4,108.5,275,0.674
C,southern highbush blueberry,month,1,0.0,0.0,0,
C,southern highbush blueberry,month,2,0.3,36.0,0,
C,southern highbush blueberry,month,3,0.0,36.1,0,
C,southern highbush blueberry,month,4,7.5,72.1,0,
C,southern highbush blueberry,month,5,0.0,108.6,0,
C,southern highbush blueberry,month,6,12.6,72.1,0,
C,southern highbush blueberry,month,7,38.6,72.8,0,
C,southern highbush blueberry,month,8,33.5,72.4,0,
C,southern highbush blueberry,month,9,27.5,36.0,0,
C,southern highbush blueberry,month,10,14.1,36.1,0,
C,southern highbush blueberry,month,11,4.4,36.1,0,
C,southern highbush blueberry,month,12,30.6,0.0,0,
C,southern highbush blueberry,year,,169.1,578.4,0,0.226
