hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
0,2023-01-01T00:00:00Z,1,2023,19,0.00,0.00,0.00,20.60
1,2023-01-01T01:00:00Z,1,2023,20,0.00,0.00,0.00,19.96
2,2023-01-01T02:00:00Z,1,2023,21,0.00,0.00,0.00,19.44
3,2023-01-01T03:00:00Z,1,2023,22,0.00,0.00,0.00,19.10
4,2023-01-01T04:00:00Z,1,2023,23,0.00,0.00,0.00,18.90
5,2023-01-01T05:00:00Z,1,2023,0,0.00,0.00,0.00,18.74
6,2023-01-01T06:00:00Z,1,2023,1,0.00,0.00,0.00,18.56
7,2023-01-01T07:00:00Z,1,2023,2,0.00,0.00,0.00,18.38
8,2023-01-01T08:00:00Z,1,2023,3,0.00,0.00,0.00,18.21
9,2023-01-01T09:00:00Z,1,2023,4,0.00,0.00,0.00,18.01
10,2023-01-01T10:00:00Z,1,2023,5,0.00,0.00,0.00,17.80
11,2023-01-01T11:00:00Z,1,2023,6,0.00,0.00,0.00,17.64
12,2023-01-01T12:00:00Z,1,2023,7,13.38,37.00,15.47,17.79
13,2023-01-01T13:00:00Z,1,2023,8,111.93,222.07,66.65,19.26
14,2023-01-01T14:00:00Z,1,2023,9,226.38,345.12,111.49,20.33
15,2023-01-01T15:00:00Z,1,2023,10,320.60,384.30,135.61,22.49
16,2023-01-01T16:00:00Z,1,2023,11,495.08,648.85,150.28,24.43
17,2023-01-01T17:00:00Z,1,2023,12,543.25,543.15,207.16,25.42
18,2023-01-01T18:00:00Z,1,2023,13,436.23,521.86,167.52,25.40
19,2023-01-01T19:00:00Z,1,2023,14,353.73,284.55,226.50,25.06
20,2023-01-01T20:00:00Z,1,2023,15,246.25,225.89,171.82,24.54
21,2023-01-01T21:00:00Z,1,2023,16,119.40,167.18,87.56,23.31
22,2023-01-01T22:00:00Z,1,2023,17,14.60,24.61,17.71,21.96
23,2023-01-01T23:00:00Z,1,2023,18,0.00,0.00,0.00,20.85
24,2023-01-02T00:00:00Z,1,2023,19,0.00,0.00,0.00,19.93
25,2023-01-02T01:00:00Z,1,2023,20,0.00,0.00,0.00,19.19
26,2023-01-02T02:00:00Z,1,2023,21,0.00,0.00,0.00,18.62
27,2023-01-02T03:00:00Z,1,2023,22,0.00,0.00,0.00,18.16
28,2023-01-02T04:00:00Z,1,2023,23,0.00,0.00,0.00,17.72
29,2023-01-02T05:00:00Z,1,2023,0,0.00,0.00,0.00,17.41
30,2023-01-02T06:00:00Z,1,2023,1,0.00,0.00,0.00,17.23
31,2023-01-02T07:00:00Z,1,2023,2,0.00,0.00,0.00,17.34
32,2023-01-02T08:00:00Z,1,2023,3,0.00,0.00,0.00,17.52
33,2023-01-02T09:00:00Z,1,2023,4,0.00,0.00,0.00,17.37
34,2023-01-02T10:00:00Z,1,2023,5,0.00,0.00,0.00,17.06
35,2023-01-02T11:00:00Z,1,2023,6,0.00,0.00,0.00,16.13
36,2023-01-02T12:00:00Z,1,2023,7,18.42,101.95,14.04,15.73
37,2023-01-02T13:00:00Z,1,2023,8,174.68,562.14,50.76,19.09
38,2023-01-02T14:00:00Z,1,2023,9,358.15,744.06,71.81,21.41
39,2023-01-02T15:00:00Z,1,2023,10,509.65,846.44,79.81,24.08
40,2023-01-02T16:00:00Z,1,2023,11,607.95,883.18,85.10,25.54
41,2023-01-02T17:00:00Z,1,2023,12,641.00,888.30,90.96,26.37
42,2023-01-02T18:00:00Z,1,2023,13,606.58,867.65,92.06,26.75
43,2023-01-02T19:00:00Z,1,2023,14,513.35,852.40,80.28,26.71
44,2023-01-02T20:00:00Z,1,2023,15,363.52,760.98,68.48,26.16
45,2023-01-02T21:00:00Z,1,2023,16,178.77,587.17,49.41,24.60
46,2023-01-02T22:00:00Z,1,2023,17,19.27,111.38,13.38,21.24
47,2023-01-02T23:00:00Z,1,2023,18,0.00,0.00,0.00,19.78
48,2023-01-03T00:00:00Z,1,2023,19,0.00,0.00,0.00,19.02
49,2023-01-03T01:00:00Z,1,2023,20,0.00,0.00,0.00,18.31
50,2023-01-03T02:00:00Z,1,2023,21,0.00,0.00,0.00,17.77
51,2023-01-03T03:00:00Z,1,2023,22,0.00,0.00,0.00,17.36
52,2023-01-03T04:00:00Z,1,2023,23,0.00,0.00,0.00,17.00
53,2023-01-03T05:00:00Z,1,2023,0,0.00,0.00,0.00,16.64
54,2023-01-03T06:00:00Z,1,2023,1,0.00,0.00,0.00,16.35
55,2023-01-03T07:00:00Z,1,2023,2,0.00,0.00,0.00,16.18
56,2023-01-03T08:00:00Z,1,2023,3,0.00,0.00,0.00,16.06
57,2023-01-03T09:00:00Z,1,2023,4,0.00,0.00,0.00,15.90
58,2023-01-03T10:00:00Z,1,2023,5,0.00,0.00,0.00,15.80
59,2023-01-03T11:00:00Z,1,2023,6,0.00,0.00,0.00,15.76
60,2023-01-03T12:00:00Z,1,2023,7,17.58,87.46,14.02,16.42
61,2023-01-03T13:00:00Z,1,2023,8,167.73,517.87,53.58,19.88
62,2023-01-03T14:00:00Z,1,2023,9,343.35,686.47,82.95,22.41
63,2023-01-03T15:00:00Z,1,2023,10,488.35,762.55,99.83,24.44
64,2023-01-03T16:00:00Z,1,2023,11,526.55,626.73,173.11,25.54
65,2023-01-03T17:00:00Z,1,2023,12,477.02,377.53,247.43,26.46
66,2023-01-03T18:00:00Z,1,2023,13,423.33,537.16,172.20,27.32
67,2023-01-03T19:00:00Z,1,2023,14,365.55,440.47,160.31,27.76
68,2023-01-03T20:00:00Z,1,2023,15,263.90,374.09,131.07,27.68
69,2023-01-03T21:00:00Z,1,2023,16,133.00,238.02,82.70,26.50
70,2023-01-03T22:00:00Z,1,2023,17,16.45,49.56,17.70,23.83
71,2023-01-03T23:00:00Z,1,2023,18,0.00,0.00,0.00,22.66
72,2023-01-04T00:00:00Z,1,2023,19,0.00,0.00,0.00,21.71
73,2023-01-04T01:00:00Z,1,2023,20,0.00,0.00,0.00,20.78
74,2023-01-04T02:00:00Z,1,2023,21,0.00,0.00,0.00,20.12
75,2023-01-04T03:00:00Z,1,2023,22,0.00,0.00,0.00,19.62
76,2023-01-04T04:00:00Z,1,2023,23,0.00,0.00,0.00,19.22
77,2023-01-04T05:00:00Z,1,2023,0,0.00,0.00,0.00,18.95
78,2023-01-04T06:00:00Z,1,2023,1,0.00,0.00,0.00,18.85
79,2023-01-04T07:00:00Z,1,2023,2,0.00,0.00,0.00,18.78
80,2023-01-04T08:00:00Z,1,2023,3,0.00,0.00,0.00,18.72
81,2023-01-04T09:00:00Z,1,2023,4,0.00,0.00,0.00,18.72
82,2023-01-04T10:00:00Z,1,2023,5,0.00,0.00,0.00,18.78
83,2023-01-04T11:00:00Z,1,2023,6,0.00,0.00,0.00,18.93
84,2023-01-04T12:00:00Z,1,2023,7,12.70,14.99,15.33,19.56
85,2023-01-04T13:00:00Z,1,2023,8,96.07,87.78,76.10,21.27
86,2023-01-04T14:00:00Z,1,2023,9,206.32,162.41,149.21,22.61
87,2023-01-04T15:00:00Z,1,2023,10,288.98,299.64,173.42,24.60
88,2023-01-04T16:00:00Z,1,2023,11,345.90,438.09,164.85,26.13
89,2023-01-04T17:00:00Z,1,2023,12,446.33,487.07,219.24,26.84
90,2023-01-04T18:00:00Z,1,2023,13,398.77,307.43,245.45,27.00
91,2023-01-04T19:00:00Z,1,2023,14,331.33,182.78,249.88,26.60
92,2023-01-04T20:00:00Z,1,2023,15,217.05,82.27,177.04,25.95
93,2023-01-04T21:00:00Z,1,2023,16,100.18,48.35,84.85,24.58
94,2023-01-04T22:00:00Z,1,2023,17,12.95,4.81,14.99,23.07
95,2023-01-04T23:00:00Z,1,2023,18,0.00,0.00,0.00,22.48
96,2023-01-05T00:00:00Z,1,2023,19,0.00,0.00,0.00,22.19
97,2023-01-05T01:00:00Z,1,2023,20,0.00,0.00,0.00,21.90
98,2023-01-05T02:00:00Z,1,2023,21,0.00,0.00,0.00,21.59
99,2023-01-05T03:00:00Z,1,2023,22,0.00,0.00,0.00,21.32
100,2023-01-05T04:00:00Z,1,2023,23,0.00,0.00,0.00,21.10
101,2023-01-05T05:00:00Z,1,2023,0,0.00,0.00,0.00,20.91
102,2023-01-05T06:00:00Z,1,2023,1,0.00,0.00,0.00,20.72
103,2023-01-05T07:00:00Z,1,2023,2,0.00,0.00,0.00,20.53
104,2023-01-05T08:00:00Z,1,2023,3,0.00,0.00,0.00,20.24
105,2023-01-05T09:00:00Z,1,2023,4,0.00,0.00,0.00,19.96
106,2023-01-05T10:00:00Z,1,2023,5,0.00,0.00,0.00,19.76
107,2023-01-05T11:00:00Z,1,2023,6,0.00,0.00,0.00,19.61
108,2023-01-05T12:00:00Z,1,2023,7,10.20,31.98,11.35,19.74
109,2023-01-05T13:00:00Z,1,2023,8,69.18,122.37,41.43,20.91
110,2023-01-05T14:00:00Z,1,2023,9,139.98,163.77,89.89,21.77
111,2023-01-05T15:00:00Z,1,2023,10,193.45,170.11,118.28,22.93
112,2023-01-05T16:00:00Z,1,2023,11,231.18,102.52,158.72,23.60
113,2023-01-05T17:00:00Z,1,2023,12,336.27,91.75,274.78,23.63
114,2023-01-05T18:00:00Z,1,2023,13,251.48,24.17,213.24,23.33
115,2023-01-05T19:00:00Z,1,2023,14,159.18,3.17,137.40,22.70
116,2023-01-05T20:00:00Z,1,2023,15,112.12,11.85,96.22,21.82
117,2023-01-05T21:00:00Z,1,2023,16,65.72,21.21,56.48,20.72
118,2023-01-05T22:00:00Z,1,2023,17,10.00,8.31,11.44,18.96
119,2023-01-05T23:00:00Z,1,2023,18,0.00,0.00,0.00,18.14
120,2023-01-06T00:00:00Z,1,2023,19,0.00,0.00,0.00,17.60
121,2023-01-06T01:00:00Z,1,2023,20,0.00,0.00,0.00,17.01
122,2023-01-06T02:00:00Z,1,2023,21,0.00,0.00,0.00,16.50
123,2023-01-06T03:00:00Z,1,2023,22,0.00,0.00,0.00,16.03
124,2023-01-06T04:00:00Z,1,2023,23,0.00,0.00,0.00,15.33
125,2023-01-06T05:00:00Z,1,2023,0,0.00,0.00,0.00,14.56
126,2023-01-06T06:00:00Z,1,2023,1,0.00,0.00,0.00,13.43
127,2023-01-06T07:00:00Z,1,2023,2,0.00,0.00,0.00,12.37
128,2023-01-06T08:00:00Z,1,2023,3,0.00,0.00,0.00,11.32
129,2023-01-06T09:00:00Z,1,2023,4,0.00,0.00,0.00,10.36
130,2023-01-06T10:00:00Z,1,2023,5,0.00,0.00,0.00,9.54
131,2023-01-06T11:00:00Z,1,2023,6,0.00,0.00,0.00,8.87
132,2023-01-06T12:00:00Z,1,2023,7,20.65,149.78,14.25,9.07
133,2023-01-06T13:00:00Z,1,2023,8,197.65,709.81,44.34,11.75
134,2023-01-06T14:00:00Z,1,2023,9,397.73,894.72,54.70,14.56
135,2023-01-06T15:00:00Z,1,2023,10,559.00,988.05,55.61,17.40
136,2023-01-06T16:00:00Z,1,2023,11,662.10,1035.72,54.88,18.76
137,2023-01-06T17:00:00Z,1,2023,12,697.35,1030.49,58.64,19.70
138,2023-01-06T18:00:00Z,1,2023,13,665.08,1018.45,58.02,20.29
139,2023-01-06T19:00:00Z,1,2023,14,567.40,994.65,54.33,20.47
140,2023-01-06T20:00:00Z,1,2023,15,411.67,936.17,50.22,20.05
141,2023-01-06T21:00:00Z,1,2023,16,213.82,780.99,38.34,18.71
142,2023-01-06T22:00:00Z,1,2023,17,28.38,260.68,13.24,15.40
143,2023-01-06T23:00:00Z,1,2023,18,0.00,0.00,0.00,13.80
144,2023-01-07T00:00:00Z,1,2023,19,0.00,0.00,0.00,12.59
