hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
0,2023-01-01T00:00:00Z,1,2023,19,0.00,0.00,0.00,8.45
1,2023-01-01T01:00:00Z,1,2023,20,0.00,0.00,0.00,8.03
2,2023-01-01T02:00:00Z,1,2023,21,0.00,0.00,0.00,8.05
3,2023-01-01T03:00:00Z,1,2023,22,0.00,0.00,0.00,8.22
4,2023-01-01T04:00:00Z,1,2023,23,0.00,0.00,0.00,8.43
5,2023-01-01T05:00:00Z,1,2023,0,0.00,0.00,0.00,8.23
6,2023-01-01T06:00:00Z,1,2023,1,0.00,0.00,0.00,8.34
7,2023-01-01T07:00:00Z,1,2023,2,0.00,0.00,0.00,7.89
8,2023-01-01T08:00:00Z,1,2023,3,0.00,0.00,0.00,7.38
9,2023-01-01T09:00:00Z,1,2023,4,0.00,0.00,0.00,7.09
10,2023-01-01T10:00:00Z,1,2023,5,0.00,0.00,0.00,6.90
11,2023-01-01T11:00:00Z,1,2023,6,0.00,0.00,0.00,6.70
12,2023-01-01T12:00:00Z,1,2023,7,13.85,52.81,14.50,6.63
13,2023-01-01T13:00:00Z,1,2023,8,103.65,265.92,61.20,7.02
14,2023-01-01T14:00:00Z,1,2023,9,204.05,318.79,113.26,7.88
15,2023-01-01T15:00:00Z,1,2023,10,260.10,289.13,164.35,8.82
16,2023-01-01T16:00:00Z,1,2023,11,309.50,267.92,201.16,9.14
17,2023-01-01T17:00:00Z,1,2023,12,285.33,181.48,216.28,8.70
18,2023-01-01T18:00:00Z,1,2023,13,241.45,165.19,183.92,8.07
19,2023-01-01T19:00:00Z,1,2023,14,157.52,104.97,124.08,7.27
20,2023-01-01T20:00:00Z,1,2023,15,62.53,44.55,52.09,6.33
21,2023-01-01T21:00:00Z,1,2023,16,0.00,0.00,0.00,5.06
22,2023-01-01T22:00:00Z,1,2023,17,0.00,0.00,0.00,4.30
23,2023-01-01T23:00:00Z,1,2023,18,0.00,0.00,0.00,3.75
24,2023-01-02T00:00:00Z,1,2023,19,0.00,0.00,0.00,3.32
25,2023-01-02T01:00:00Z,1,2023,20,0.00,0.00,0.00,2.28
26,2023-01-02T02:00:00Z,1,2023,21,0.00,0.00,0.00,1.58
27,2023-01-02T03:00:00Z,1,2023,22,0.00,0.00,0.00,1.03
28,2023-01-02T04:00:00Z,1,2023,23,0.00,0.00,0.00,0.34
29,2023-01-02T05:00:00Z,1,2023,0,0.00,0.00,0.00,-0.24
30,2023-01-02T06:00:00Z,1,2023,1,0.00,0.00,0.00,-0.84
31,2023-01-02T07:00:00Z,1,2023,2,0.00,0.00,0.00,-0.98
32,2023-01-02T08:00:00Z,1,2023,3,0.00,0.00,0.00,-1.09
33,2023-01-02T09:00:00Z,1,2023,4,0.00,0.00,0.00,-1.47
34,2023-01-02T10:00:00Z,1,2023,5,0.00,0.00,0.00,-1.52
35,2023-01-02T11:00:00Z,1,2023,6,0.00,0.00,0.00,-1.16
36,2023-01-02T12:00:00Z,1,2023,7,14.30,66.18,14.69,0.09
37,2023-01-02T13:00:00Z,1,2023,8,102.22,253.10,62.13,1.16
38,2023-01-02T14:00:00Z,1,2023,9,188.98,286.36,116.51,2.93
39,2023-01-02T15:00:00Z,1,2023,10,233.60,239.90,151.98,5.30
40,2023-01-02T16:00:00Z,1,2023,11,268.92,158.64,196.59,6.94
